team,player,player_id,position,competition,season,games,possible_games,goals,assists,minutes,start11_pct,yellow,red,clean_sheets,conceded,minutes_pct,second_yellow,gc_pct,gc_pct_nopen
Argentina,Marcos Senesi,469781,Centre-Back,EFL Cup,25/26,1,1,0,0,45,0.0,0,0,0,0,50.0,0,0.0,0.0
Argentina,Facundo Medina,474800,Centre-Back,Ligue 1,25/26,17,34,0,1,1366,47.05882352941176,7,0,0,0,44.640522875817,0,1.5873015873015872,2.941176470588235
Argentina,Facundo Medina,474800,Centre-Back,UEFA Champions League,25/26,4,8,0,0,306,50.0,1,0,0,0,42.5,0,0.0,0.0
Argentina,Facundo Medina,474800,Centre-Back,Coupe de France,25/26,4,4,0,0,253,75.0,0,0,0,0,70.27777777777777,0,0.0,0.0
Argentina,Facundo Medina,474800,Centre-Back,Trophée des Champions,25/26,1,1,0,0,90,100.0,1,0,0,0,100.0,0,0.0,0.0
Argentina,Nicolás Otamendi,54781,Centre-Back,Liga Portugal,25/26,30,34,2,3,2605,88.23529411764706,7,1,0,0,85.13071895424837,0,6.756756756756757,7.352941176470589
Argentina,Nicolás Otamendi,54781,Centre-Back,UEFA Champions League,25/26,10,10,0,1,900,100.0,3,0,0,0,100.0,0,9.090909090909092,9.090909090909092
Argentina,Nicolás Otamendi,54781,Centre-Back,Champions League Qu.,25/26,4,4,0,0,360,100.0,0,0,0,0,100.0,0,0.0,0.0
Argentina,Nicolás Otamendi,54781,Centre-Back,Allianz Cup,25/26,2,2,1,0,179,100.0,0,0,0,0,99.44444444444444,1,25.0,25.0
Argentina,Nicolás Otamendi,54781,Centre-Back,Taça de Portugal,25/26,2,4,0,0,180,50.0,1,0,0,0,50.0,0,0.0,0.0
Argentina,Nicolás Otamendi,54781,Centre-Back,Portuguese Supercup,25/26,1,1,0,0,90,100.0,1,0,0,0,100.0,0,0.0,0.0
Argentina,Nicolás Tagliafico,131225,Left-Back,Ligue 1,25/26,20,34,0,3,1310,41.17647058823529,4,1,0,0,42.810457516339866,1,5.660377358490567,7.5
Argentina,Nicolás Tagliafico,131225,Left-Back,Europa League,25/26,8,10,0,0,560,70.0,2,0,0,0,62.22222222222222,1,0.0,0.0
Argentina,Nicolás Tagliafico,131225,Left-Back,Coupe de France,25/26,2,4,0,0,149,50.0,1,0,0,0,41.388888888888886,0,0.0,0.0
Argentina,Nahuel Molina,424042,Right-Back,LaLiga,25/26,26,38,2,2,1321,34.21052631578947,4,0,0,0,38.62573099415204,0,6.451612903225806,6.896551724137931
Argentina,Nahuel Molina,424042,Right-Back,UEFA Champions League,25/26,13,16,0,0,697,43.75,1,0,0,0,48.40277777777778,0,0.0,0.0
Argentina,Nahuel Molina,424042,Right-Back,Copa del Rey,25/26,6,6,0,2,372,66.66666666666666,0,0,0,0,65.26315789473685,0,11.11111111111111,13.333333333333334
Argentina,Nahuel Molina,424042,Right-Back,Supercopa,25/26,1,1,0,0,10,0.0,0,0,0,0,11.11111111111111,0,0.0,0.0
Argentina,Gonzalo Montiel,402733,Right-Back,Playoff Torneo Apertura,2026,2,4,0,0,165,50.0,0,0,0,0,42.30769230769231,0,0.0,0.0
Argentina,Gonzalo Montiel,402733,Right-Back,Copa Argentina,2026,1,1,0,0,90,100.0,0,0,0,0,100.0,0,0.0,0.0
Argentina,Gonzalo Montiel,402733,Right-Back,Torneo Apertura ,2026,14,16,4,1,1260,87.5,4,0,0,0,87.5,0,22.727272727272727,26.31578947368421
Argentina,Gonzalo Montiel,402733,Right-Back,Copa Sudamericana,2026,2,6,0,0,135,16.666666666666664,0,0,0,0,25.0,0,0.0,0.0
Argentina,Leandro Paredes,166237,Defensive Midfield,Libertadores,2026,6,6,1,1,536,100.0,2,0,0,0,99.25925925925925,0,33.33333333333333,33.33333333333333
Argentina,Leandro Paredes,166237,Defensive Midfield,Playoff Torneo Apertura,2026,1,1,0,0,120,100.0,1,0,0,0,100.0,0,0.0,0.0
Argentina,Leandro Paredes,166237,Defensive Midfield,Torneo Apertura ,2026,14,16,2,3,978,62.5,6,0,0,0,67.91666666666667,0,22.727272727272727,23.809523809523807
Argentina,Enzo Fernández,648195,Central Midfield,Premier League,25/26,36,38,10,4,3121,92.10526315789474,10,0,0,0,91.25730994152048,0,24.137931034482758,25.454545454545453
Argentina,Enzo Fernández,648195,Central Midfield,UEFA Champions League,25/26,10,10,3,2,748,90.0,2,0,0,0,83.11111111111111,0,26.31578947368421,26.31578947368421
Argentina,Enzo Fernández,648195,Central Midfield,FA Cup,25/26,4,6,2,1,231,33.33333333333333,1,0,0,0,40.526315789473685,0,14.285714285714285,30.0
Argentina,Enzo Fernández,648195,Central Midfield,EFL Cup,25/26,4,5,0,0,279,60.0,1,0,0,0,62.0,0,0.0,0.0
Argentina,Alexis Mac Allister,534033,Central Midfield,Premier League,25/26,37,38,2,4,2663,81.57894736842105,7,0,0,0,77.86549707602339,0,9.523809523809524,10.0
