player_name,team_title,position,time,games,goals,assists,shots,key_passes,xG,xA,npg,npxG
"Hugo Magnetti","Brest","M S","2721","33","1","1","22","17","0.59883688762784","1.2192494422197342","1","0.59883688762784"
"Matthieu Udol","Lens","D S","3000","34","1","7","47","55","4.393044971395284","11.901465432718396","1","4.393044971395284"
"Chidozie Awaziem","Nantes","D S","2239","26","1","2","11","10","0.5838352423161268","1.5799404215067625","1","0.5838352423161268"
"Mohammed Salisu","Monaco","D","1080","12","1","0","8","2","0.8756848890334368","0.15080468729138374","1","0.8756848890334368"
"Francisco Sierralta","Auxerre","D S","869","10","1","0","7","1","0.7252583894878626","0.038721200078725815","1","0.7252583894878626"
"Amadou Haidara","Lens","M S","241","7","1","1","2","2","0.35697678197175264","0.16446375846862793","1","0.35697678197175264"
"Sebastian Szymanski","Rennes","M S","796","16","1","3","12","19","0.5328370127826929","2.5659672282636166","1","0.5328370127826929"
"Brendan Chardonnet","Brest","D","2555","29","1","3","12","10","1.0160756586119533","2.5328441374003887","1","1.0160756586119533"
"Hichem Boudaoui","Nice","M S","1697","25","1","2","21","16","2.2907996512949467","1.5970600554719567","1","2.2907996512949467"
"Boubacar Traore","Metz","M S","1414","20","1","0","19","4","0.9408415667712688","0.22199192829430103","1","0.9408415667712688"
"Georges Mikautadze","Lyon","F","180","2","1","0","10","0","1.2365504503250122","0","1","1.2365504503250122"
"Jonathan Clauss","Nice","D M S","2529","30","1","6","23","64","1.4057410368695855","8.050188221037388","1","1.4057410368695855"
"Vitinha","Paris Saint Germain","M S","2122","29","1","7","34","34","0.9833967238664627","3.4552896190434694","1","0.9833967238664627"
"Dilane Bakwa","Strasbourg","S","94","3","1","2","2","3","0.0750504583120346","0.6692362725734711","1","0.0750504583120346"
"Marvin Senaya","Auxerre","D S","1796","25","1","0","15","6","1.403174713253975","0.23766765743494034","1","1.403174713253975"
"Quentin Merlin","Rennes","D M S","2534","33","1","5","26","47","1.8468318972736597","4.493204697966576","1","1.8468318972736597"
"Antoine Mendy","Nice","D S","2105","25","1","0","17","1","2.194048591889441","0.03722933307290077","1","2.194048591889441"
"Przemyslaw Frankowski","Rennes","D M S","1230","19","1","2","9","29","0.3376607820391655","2.6184137174859643","1","0.3376607820391655"
"Jim Allevinah","Angers","S","110","6","1","0","5","1","0.7092178463935852","0.02793130837380886","1","0.7092178463935852"
"Igor Silva","Lorient","D S","1208","17","1","0","8","8","0.35449149180203676","0.5010415175929666","1","0.35449149180203676"
"Andrew Omobamidele","Strasbourg","D S","1336","25","1","0","4","0","0.9338973155245185","0","1","0.9338973155245185"
"Tanner Tessmann","Lyon","D M S","1938","29","1","0","26","13","2.568478574976325","1.4022282604128122","1","2.568478574976325"
"Lohann Doucet","Paris FC","M S","114","5","1","0","2","4","0.6114895138889551","0.09275395981967449","1","0.6114895138889551"
"Junior Mwanga","Nantes,Strasbourg","D M","1651","20","1","1","10","18","1.1464128233492374","1.0721323154866695","1","1.1464128233492374"
"Rasmus Nicolaisen","Toulouse","D S","2582","32","1","0","15","2","0.8822177099063993","0.09761351346969604","1","0.8822177099063993"
"Anthony Rouault","Rennes","D S","1723","21","1","0","9","6","2.573473647236824","0.1675164084881544","1","2.573473647236824"
"Ousmane Camara","Angers","D S","2724","32","1","0","13","4","0.6418565474450588","0.25019954331219196","1","0.6418565474450588"
"Julien Le Cardinal","Brest","D S","323","5","1","0","5","1","0.4954712763428688","0.029206275939941406","1","0.4954712763428688"
"Warren Kamanzi","Toulouse","D S","825","24","1","1","12","9","1.5046230126172304","0.5564930234104395","1","1.5046230126172304"
"Illia Zabarnyi","Paris Saint Germain","D S","2387","28","1","0","4","4","0.5713930502533913","0.16471820324659348","1","0.5713930502533913"
"Morgan Guilavogui","Lens","M S","444","16","1","0","10","11","1.7886713072657585","1.1636604741215706","1","1.7886713072657585"
"Arouna Sangante","Le Havre","D","2357","28","1","1","9","10","0.4403181094676256","0.4031094592064619","1","0.4403181094676256"
"Josué Casimir","Auxerre","D F M S","1509","31","1","0","22","10","2.7384571619331837","1.4077786430716515","1","1.9783619977533817"
"Oussama El Azzouzi","Auxerre","D M S","821","11","1","0","5","9","0.6952410852536559","0.5211914069950581","1","0.6952410852536559"
"Ibou Sané","Metz","F M S","520","16","1","1","6","5","0.33163389936089516","0.9435513913631439","1","0.33163389936089516"
"Samir El Mourabet","Strasbourg","M S","2145","33","1","2","12","28","0.3717561801895499","2.710016814060509","1","0.3717561801895499"
"Panos Katseris","Lorient","D S","728","16","1","2","7","10","0.8765109218657017","2.371944934129715","1","0.8765109218657017"
"Mohamed Bamba","Lorient","F S","664","18","1","2","13","6","2.8765433095395565","1.6329459995031357","1","2.116448190063238"
"Dehmaine Assoumani","Nantes","D F M S","1261","27","1","0","29","20","1.7984376410022378","2.0394907854497433","1","1.7984376410022378"
"Stanis Idumbo Muzambo","Monaco","S","129","8","1","1","6","3","1.0647227093577385","0.4020053409039974","1","1.0647227093577385"
"Simon Ebonog","Le Havre","M S","1775","30","1","0","22","7","1.9645931422710419","0.33907923474907875","1","1.9645931422710419"
"Yanis Zouaoui","Le Havre","D M S","2380","30","1","1","16","36","1.2848391653969884","3.175815327093005","0","0.524744008667767"
"Ngal&#039;ayel Mukau","Lille","M S","1548","30","1","0","20","13","2.5761082526296377","0.5113314716145396","1","2.5761082526296377"
"Osame Sahraoui","Lille","M S","471","18","1","2","12","9","1.278020929545164","0.8066076152026653","1","1.278020929545164"
"Louis Leroux","Nantes","D M S","1443","23","1","1","15","16","1.6188924480229616","0.7465226091444492","1","1.6188924480229616"
"Jordan Teze","Monaco","D M S","2515","33","1","2","14","35","0.7771280901506543","4.184554500505328","1","0.7771280901506543"
"Matt O&#039;Riley","Marseille","M S","725","15","1","2","7","12","0.8605696111917496","3.0897295102477074","1","0.8605696111917496"
"Soriba Diaoune","Lille","M S","160","10","1","1","10","5","0.9795868322253227","0.20103463158011436","1","0.9795868322253227"
"Stephan Zagadou","Le Havre","D S","503","8","1","0","1","2","0.100525863468647","0.1055814241990447","1","0.100525863468647"
"Lanroy Machine","Angers","F S","466","22","1","0","15","4","1.794658513739705","0.18798801396042109","1","1.794658513739705"
"Quentin Ndjantou","Paris Saint Germain","M S","344","10","1","1","9","5","1.466904889792204","0.31610369496047497","1","1.466904889792204"
"Adam Karabec","Lyon","M S","922","21","1","0","9","21","1.5626697093248367","2.095198465511203","1","1.5626697093248367"
"Ruben Kluivert","Lyon","D S","767","16","1","2","2","2","0.556617259979248","0.7292618155479431","1","0.556617259979248"
"Godson Kyeremeh","Le Havre","F S","350","13","1","1","6","5","0.9026919268071651","0.4994545765221119","1","0.9026919268071651"
"Felix Mambimbi","Le Havre","F M S","515","17","1","0","5","7","0.5050474088639021","0.6854475047439337","1","0.5050474088639021"
"Dro Fernández","Paris Saint Germain","M S","680","12","1","0","9","7","1.1994387656450272","0.31818495504558086","1","1.1994387656450272"
"Kojo Peprah Oppong","Nice","D S","2440","29","1","0","10","6","1.3100588582456112","0.5910270726308227","1","1.3100588582456112"
"Isak Jansson","Nice","F M S","623","22","1","0","16","8","1.4099341221153736","0.9481424372643232","1","1.4099341221153736"
"Mário Sauer","Toulouse","M S","611","25","1","0","14","3","1.286695908755064","0.12826909497380257","1","1.286695908755064"
"Alexis Vossah","Toulouse","M S","1097","23","1","1","9","7","0.4475819719955325","0.6934271529316902","1","0.4475819719955325"
"Seny Koumbassa","Toulouse","D S","432","9","1","0","3","0","0.4978318251669407","0","1","0.4978318251669407"
"Nathan Ngoy","Lille","D S","2397","29","1","2","22","4","1.562451058998704","1.2294035255908966","1","1.562451058998704"
"Marius Broholm","Lille","M S","269","11","1","1","4","8","0.9693003743886948","0.5659592226147652","0","0.2092052325606346"
"Dermane Karim","Lorient","F M S","1371","30","1","2","16","16","1.3594817034900188","2.476931821554899","1","1.3594817034900188"
"Samir Chergui","Paris FC","D M S","1157","15","1","0","13","2","1.7387075843289495","0.14677738398313522","1","1.7387075843289495"
"Nouha Dicko","Paris FC","S","51","8","1","1","5","1","0.6042886339128017","0.29913920164108276","1","0.6042886339128017"
"Adama Camara","Paris FC","D M S","2198","29","1","0","18","16","1.9149737488478422","1.39525724388659","1","1.9149737488478422"
"Kendry Páez","Strasbourg","F M S","411","15","1","0","10","6","1.0802584141492844","0.4478355869650841","1","1.0802584141492844"
"Maxi Oyedele","Strasbourg","D M S","456","8","1","0","2","1","0.07616052962839603","0.01858379691839218","1","0.07616052962839603"
"Otávio","Paris FC","D S","1907","23","1","0","12","4","0.5789848626591265","0.1723948009312153","1","0.5789848626591265"
"Nordan Mukiele","Rennes","S","69","8","1","0","4","1","0.14031650591641665","0.09168802201747894","1","0.14031650591641665"
"Daouda Guindo","Brest","D S","1689","25","1","1","21","9","1.0396253047510982","0.8110729418694973","1","1.0396253047510982"
