player_name,team_title,minutesPlayed,goals,assists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,expectedGoals,expectedAssists
"Lucas Piton","Vasco da Gama","819","0","0","6","1","15","3","0.73","0.99"
"Danielzinho","São Paulo","1282","1","1","9","2","12","2","0.73","0.92"
"Marcelinho","Remo","1202","2","0","17","6","10","5","0.72","0.82"
"Luan Cândido","Vitória","775","0","2","8","3","3","2","0.72","0.4"
"Emmanuel Martínez","Vitória","1107","0","0","6","1","12","7","0.71","0.3"
"Allan","Corinthians","544","0","0","5","1","6","6","0.7","0.21"
"Negueba","Mirassol","782","2","0","19","5","18","16","0.7","1.83"
"José Andrés Hurtado","Red Bull Bragantino","932","1","0","14","2","7","8","0.7","0.6"
"Rafael Carvalheira","Chapecoense","895","2","0","14","4","5","0","0.7","0.51"
"Zé Rafael","Santos","174","1","1","5","1","3","1","0.69","0.09"
"Keno","Coritiba","86","0","0","2","1","1","2","0.68","0.02"
"Ramon","Vitória","1198","2","0","8","4","15","9","0.68","0.92"
"Paulinho","Palmeiras","79","2","0","4","2","1","3","0.67","0.12"
"Mateusinho","Vitória","135","0","0","2","0","1","1","0.67","0.28"
"Guilherme Arana","Fluminense","818","1","1","14","5","10","3","0.67","0.68"
"Willian","Grêmio","328","0","0","7","1","2","3","0.66","0.57"
"Braian Aguirre","Internacional","483","1","1","11","3","11","4","0.65","1.41"
"Bruno Gomes","Internacional","1440","0","0","12","1","21","9","0.64","1.62"
"Rony","Santos","878","0","0","11","2","12","5","0.64","0.45"
"Bernard","Atlético Mineiro","746","1","2","7","2","16","5","0.64","0.84"
"Alan Franco","Atlético Mineiro","1304","0","1","5","2","7","1","0.63","0.91"
"Maurício Garcez","Chapecoense","433","0","0","7","1","8","6","0.61","0.38"
"Matheus Bidu","Corinthians","1293","2","1","14","3","17","13","0.61","1.48"
"Gustavo Neves","Red Bull Bragantino","648","1","1","9","5","17","10","0.61","1.74"
"Ênio","Chapecoense","639","1","0","15","5","18","9","0.61","1.67"
"Alexander Barboza","Botafogo","1044","1","2","12","7","7","3","0.6","0.49"
"Bruno Zapelli","Athletico","691","0","1","10","2","17","5","0.59","1.27"
"Kevin Ramírez","Chapecoense","82","0","0","1","1","1","0","0.59","0.56"
"Gabriel Pires","Mirassol","252","0","1","12","4","2","4","0.59","0.53"
