player_name,team_title,position,time,games,goals,assists,shots,key_passes,xG,xA,npg,npxG
"Iyenoma Destiny Udogie","Tottenham","D S","1342","20","0","1","4","12","0.21846551168709993","1.1220016870647669","0","0.21846551168709993"
"Guglielmo Vicario","Tottenham","GK","2790","31","0","0","0","1","0","0.07186521589756012","0","0"
"Dilane Bakwa","Nottingham Forest","M S","556","14","0","2","9","11","0.7644308656454086","1.2161817625164986","0","0.7644308656454086"
"Aaron Hickey","Brentford","D M S","668","21","0","0","6","1","0.5498570688068867","0.6038424372673035","0","0.5498570688068867"
"Florentino Luís","Burnley","M S","2146","31","0","2","13","13","1.0381876304745674","0.5375469047576189","0","1.0381876304745674"
"James Trafford","Manchester City","GK","360","4","0","0","0","0","0","0","0","0"
"Robert Sánchez","Chelsea","GK","3054","35","0","1","0","5","0","0.8848487213253975","0","0"
"Radu Dragusin","Tottenham","D S","513","10","0","0","4","0","0.2077605351805687","0","0","0.2077605351805687"
"Filip Jorgensen","Chelsea","GK S","365","5","0","0","0","0","0","0","0","0"
"Jeremie Frimpong","Liverpool","D M S","1027","21","0","1","10","15","0.514072947204113","2.69134059548378","0","0.514072947204113"
"Dane Scarlett","Tottenham","S","4","2","0","0","0","0","0","0","0","0"
"Maxime Estève","Burnley","D","2946","34","0","0","10","6","0.4516084846109152","0.7021042061969638","0","0.4516084846109152"
"Valentino Livramento","Newcastle United","D S","1323","17","0","1","3","10","0.15228571370244026","0.6162818782031536","0","0.15228571370244026"
"Anthony Elanga","Newcastle United","F M S","1289","32","0","1","17","15","1.4534468036144972","1.7495205141603947","0","1.4534468036144972"
"Tim Iroegbunam","Everton","M S","1496","29","0","2","12","8","0.5109043149277568","1.847727376036346","0","0.5109043149277568"
"Marco Bizot","Aston Villa","GK S","583","7","0","0","0","0","0","0","0","0"
"David Raya","Arsenal","GK","3330","37","0","0","0","3","0","0.1493939720094204","0","0"
"Kristoffer Ajer","Brentford","D S","1809","27","0","1","10","5","1.053914662450552","0.9042857214808464","0","1.053914662450552"
"Ethan Pinnock","Brentford","D","330","4","0","0","1","0","0.009195007383823395","0","0","0.009195007383823395"
"Rico Henry","Brentford","D S","1315","25","0","1","5","4","0.14565920177847147","0.31617192178964615","0","0.14565920177847147"
"Frank Onyeka","Brentford","S","68","6","0","1","0","1","0","0.3706037104129791","0","0"
"Giorgi Mamardashvili","Liverpool","GK","870","10","0","0","0","0","0","0","0","0"
"José Sá","Wolverhampton Wanderers","GK","2070","23","0","0","0","1","0","0.08312523365020752","0","0"
"Gabriel Gudmundsson","Leeds","D M S","2657","32","0","0","18","21","0.8777289493009448","3.1013932153582573","0","0.8777289493009448"
"Yerson Mosquera","Wolverhampton Wanderers","D S","2154","27","0","0","30","11","2.9658489003777504","1.2027571620419621","0","2.9658489003777504"
"Romeo Lavia","Chelsea","M S","366","12","0","0","3","1","0.27671280317008495","0.41531437635421753","0","0.27671280317008495"
"Cristhian Mosquera","Arsenal","D S","976","20","0","0","1","5","0.08585410565137863","0.29345311783254147","0","0.08585410565137863"
"Lamare Bogarde","Aston Villa","D M S","1011","28","0","0","0","2","0","0.04115242511034012","0","0"
"Conor Bradley","Liverpool","D S","962","15","0","1","6","4","0.21982916723936796","1.1937107481062412","0","0.21982916723936796"
"James McAtee","Nottingham Forest","M S","263","14","0","1","4","6","0.19975193310528994","0.8618234768509865","0","0.19975193310528994"
"Diego Coppola","Brighton","D S","192","5","0","0","0","0","0","0","0","0"
"Myles Peart-Harris","Brentford","S","1","1","0","0","0","0","0","0","0","0"
"Vitalii Mykolenko","Everton","D","2963","33","0","1","9","22","0.2774586006999016","1.1418284978717566","0","0.2774586006999016"
"Nathan Patterson","Everton","D S","241","7","0","0","1","0","0.1701965481042862","0","0","0.1701965481042862"
"Toti","Wolverhampton Wanderers","D S","1437","19","0","0","5","6","0.9501397321000695","0.15858490392565727","0","0.9501397321000695"
"Josh Dasilva","Brentford","S","2","2","0","0","1","0","0.0726943090558052","0","0","0.0726943090558052"
"Carlos Baleba","Brighton","M S","1692","31","0","0","20","9","0.5733493687584996","0.812482200562954","0","0.5733493687584996"
"Jamie Bynoe-Gittens","Chelsea","M S","455","16","0","2","10","9","0.8924727980047464","0.978217288851738","0","0.8924727980047464"
"Leny Yoro","Manchester United","D S","1736","32","0","0","9","4","1.2473983131349087","0.2197452150285244","0","1.2473983131349087"
"Tyler Dibling","Everton","M S","337","14","0","0","4","4","0.13778147101402283","0.21320436522364616","0","0.13778147101402283"
"Noussair Mazraoui","Manchester United","D S","990","20","0","0","5","6","0.19680644385516644","0.2094872146844864","0","0.19680644385516644"
"Sepp van den Berg","Brentford","D S","2758","32","0","2","23","7","3.3328840751200914","2.197148658335209","0","3.3328840751200914"
"James Hill","Bournemouth","D S","2100","29","0","3","12","13","0.9502518232911825","1.4291670992970467","0","0.9502518232911825"
"Joe Worrall","Burnley","D S","478","11","0","0","1","0","0.03810013830661774","0","0","0.03810013830661774"
"Djed Spence","Tottenham","D M S","2068","30","0","0","13","10","1.1351130530238152","1.8603137182071805","0","1.1351130530238152"
"Lisandro Martínez","Manchester United","D S","1217","18","0","0","5","5","0.11346602533012629","0.46420332230627537","0","0.11346602533012629"
"Tyrell Malacia","Manchester United","S","7","3","0","0","0","0","0","0","0","0"
"Levi Colwill","Chelsea","D S","210","3","0","0","0","0","0","0","0","0"
"Wilson Odobert","Tottenham","F M S","946","24","0","2","21","20","2.460178238339722","1.9524234533309937","0","2.460178238339722"
"Rico Lewis","Manchester City","D S","389","11","0","1","3","7","0.13658001273870468","1.5545267909765244","0","0.13658001273870468"
"Emmanuel Agbadou","Wolverhampton Wanderers","D S","1093","14","0","0","10","4","0.44676383305341005","0.1717668529599905","0","0.44676383305341005"
"Marcos Senesi","Bournemouth","D","3298","37","0","5","16","24","1.850691837258637","4.026684596203268","0","1.850691837258637"
"Ryan Yates","Nottingham Forest","M S","550","22","0","2","9","5","0.674801416695118","0.22749154455959797","0","0.674801416695118"
"Kaden Rodney","Crystal Palace","S","1","1","0","0","0","0","0","0","0","0"
"Ethan Nwaneri","Arsenal","S","154","6","0","0","6","1","0.3292111651971936","0.048408184200525284","0","0.3292111651971936"
"Wilfried Gnonto","Leeds","F S","493","23","0","1","10","8","0.43765057995915413","1.2471250221133232","0","0.43765057995915413"
"Chadi Riad","Crystal Palace","D S","562","9","0","1","4","1","0.27994551230221987","0.42769163846969604","0","0.27994551230221987"
"Ben Doak","Bournemouth","S","82","8","0","1","3","1","0.44585083425045013","0.45716217160224915","0","0.44585083425045013"
"Bashir Humphreys","Burnley","D S","1585","20","0","0","9","9","0.5261353980749846","0.8644249252974987","0","0.5261353980749846"
"Mamadou Sarr","Chelsea","D S","99","3","0","0","1","0","0.5694634318351746","0","0","0.5694634318351746"
"Carlos Alcaraz","Everton","M S","681","20","0","1","20","9","1.0087895719334483","1.21384940110147","0","1.0087895719334483"
"Daniel Bentley","Wolverhampton Wanderers","GK","270","3","0","0","0","0","0","0","0","0"
"Facundo Buonanotte","Chelsea,Leeds","M S","77","4","0","0","2","3","0.07509718276560307","0.3006448894739151","0","0.07509718276560307"
"Romaine Mundle","Sunderland","M S","370","14","0","0","7","1","0.673394400626421","0.017134571447968483","0","0.673394400626421"
"Marc Guiu","Chelsea,Sunderland","F S","250","10","0","1","13","3","2.5071037635207176","0.7587333768606186","0","2.5071037635207176"
"Zeki Amdouni","Burnley","S","53","4","0","0","3","0","0.17281011119484901","0","0","0.17281011119484901"
"Hjalmar Ekdal","Burnley","D S","1545","19","0","0","6","4","0.6082124067470431","0.16814450826495886","0","0.6082124067470431"
"Bart Verbruggen","Brighton","GK","3420","38","0","0","0","1","0","0.07646425813436508","0","0"
"Abduqodir Khusanov","Manchester City","D S","1421","21","0","0","7","6","0.6727990191429853","0.5715384930372238","0","0.6727990191429853"
"Manuel Ugarte","Manchester United","M S","850","22","0","0","13","3","0.8379190387204289","0.12879487127065659","0","0.8379190387204289"
"Ian Maatsen","Aston Villa","D S","1587","30","0","1","20","25","1.2995175179094076","2.966688236221671","0","1.2995175179094076"
"Lucas Pires","Burnley","D S","1391","20","0","0","16","20","0.9026442989706993","1.5199418039992452","0","0.9026442989706993"
"Oscar Bobb","Fulham,Manchester City","F M S","1046","23","0","1","12","22","1.4291031155735254","2.017092976719141","0","1.4291031155735254"
"Djordje Petrovic","Bournemouth","GK","3420","38","0","0","0","0","0","0","0","0"
"Altay Bayindir","Manchester United","GK","540","6","0","0","0","1","0","0.2939172387123108","0","0"
"Mike Trésor","Burnley","S","25","6","0","0","0","0","0","0","0","0"
