player_name,team_title,minutes_played,shots,shots_on_target,goals,key_passes,xgoals,xassists
Rodrigo de Paul,Inter Miami CF,1593,15,2,1,21,1.6734,2.1313
Henry Kessler,St. Louis City SC,1551,6,1,0,2,0.4438,0.2315
Julián Aude,LA Galaxy,1394,4,1,0,11,0.4433,0.9685
Nicolás Fernández,New York City FC,1462,28,13,5,23,3.0494,2.7158
Ted Ku-Dipietro,Colorado Rapids,1274,26,12,1,18,3.1059,2.0714
Bernard Kamungo,FC Dallas,1997,31,11,2,14,3.8591,1.2212
Josh Bauer,Nashville SC,1178,10,4,3,10,1.7281,1.057
William Agada,Real Salt Lake,1480,42,7,2,17,4.8872,1.7139
Manu Duah,San Diego FC,1707,6,1,0,3,0.2621,0.4406
Alvas Powell,FC Cincinnati,1142,5,3,0,3,0.2583,0.9501
Kim Kee-hee,Seattle Sounders FC,1170,3,0,0,2,0.1999,0.0715
Noel Caliskan,Real Salt Lake,2287,15,3,1,13,0.615,0.8478
Eric Maxim Choupo-Moting,New York Red Bulls,3088,59,36,17,36,13.8891,3.7971
Jakob Glesnes,Philadelphia Union,3269,24,4,1,7,1.0058,0.8878
Sean Zawadzki,Columbus Crew,3018,12,4,2,10,0.9513,0.774
Luca Petrasso,CF Montréal,2997,11,4,2,21,0.9819,3.2422
Eryk Williamson,Charlotte FC,838,3,0,0,6,0.299,0.6367
Brenner,FC Cincinnati,959,24,13,6,10,4.443,1.3559
Ronald Hernández,Atlanta United FC,1447,7,2,1,13,0.776,1.4941
Mason Toye,Sporting Kansas City,639,14,8,3,1,2.9144,0.0708
Akil Watts,St. Louis City SC,1617,16,6,1,8,1.2301,1.0583
Jeisson Palacios,Nashville SC,2270,16,4,2,2,1.1978,0.1777
Nelson Palacio,Real Salt Lake,689,9,2,0,4,0.207,0.1025
Jovan Lukić,Philadelphia Union,3188,51,9,2,22,2.4866,1.749
Dennis Gjengaar,New York Red Bulls,886,12,7,2,6,2.5435,1.2714
Brayan Vera,Real Salt Lake,2342,26,4,1,6,1.0878,0.7995
CJ Fodrey,Austin FC,521,18,4,1,6,1.7449,1.6814
Mikkel Desler,Austin FC,1631,7,1,1,10,1.011,2.1061
Álvaro Augusto,FC Dallas,443,2,1,0,0,0.1658,0.0
Jeremy Ebobisse,Los Angeles FC,1007,20,10,5,8,3.9675,1.1523
Tom Barlow,Chicago Fire FC,535,8,4,3,2,1.6628,0.1143
David Martínez,Inter Miami CF,446,3,1,1,2,0.2742,0.4945
Andrés Cubas,Vancouver Whitecaps FC,2681,9,2,0,10,0.5987,1.1894
Justen Glad,Real Salt Lake,3246,16,2,1,10,1.2823,1.0934
Ronald Donkor,New York Red Bulls,1017,5,1,0,15,0.1178,1.1026
Mateo Silvetti,Inter Miami CF,518,12,3,2,4,2.1259,0.5152
Ender Echenique,FC Cincinnati,915,12,2,1,13,1.4772,1.0849
Tomás Avilés,Inter Miami CF,1398,4,2,2,0,0.3831,0.0
Olivier Giroud,Los Angeles FC,595,20,9,3,8,4.5082,0.678
Sebastian Berhalter,Vancouver Whitecaps FC,3145,61,20,4,84,3.146,8.8334
Benjamin Cremaschi,Inter Miami CF,1540,12,4,1,15,1.5199,2.2277
David Martínez,Los Angeles FC,1413,41,16,3,15,4.4326,2.3977
Morris Duggan,Minnesota United FC,1747,9,4,0,4,0.5644,0.5406
Owen Gene,Minnesota United FC,795,4,1,0,1,0.3182,0.0139
Monsef Bakrar,New York City FC,703,19,5,2,6,1.8023,0.5075
Alonso Martínez,New York City FC,3029,110,54,19,21,23.5306,2.0173
Yaw Yeboah,Los Angeles FC,559,7,1,1,5,0.2839,0.788
Joe Willis,Nashville SC,3766,1,1,0,0,0.0564,0.0
Christian Ramírez,LA Galaxy,1079,23,9,4,10,5.2137,0.758
Federico Bernardeschi,Toronto FC,1443,48,16,4,24,4.4616,3.4398
Johnny Russell,Real Salt Lake,420,11,5,2,7,1.5603,0.5368
Julian Gressel,Minnesota United FC,1220,10,3,1,15,0.6296,2.1969
Nick Lima,San Jose Earthquakes,529,4,0,0,8,0.1711,0.7651
Alex Muyl,Nashville SC,2651,35,17,1,19,5.2558,2.0659
Tom Pearce,CF Montréal,1030,23,11,0,14,1.1867,1.881
Marcel Hartel,St. Louis City SC,3409,75,27,9,97,7.7701,10.2569
